2024-09-12 16:14:00.337 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : Started Application in 1.267 seconds (process running for 1.722)
2024-09-12 16:14:10.520 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-12 16:14:10.520 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-09-12 16:14:10.521 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 1 ms
2024-09-12 16:14:10.539 DEBUG [http-nio-8080-exec-1] top.hyzhu.springboot.logging.controller.LogController : This is a DEBUG log
2024-09-12 16:14:10.539 INFO  [http-nio-8080-exec-1] top.hyzhu.springboot.logging.controller.LogController : This is an INFO log
2024-09-12 16:14:10.539 WARN  [http-nio-8080-exec-1] top.hyzhu.springboot.logging.controller.LogController : This is a WARN log
2024-09-12 16:14:10.539 ERROR [http-nio-8080-exec-1] top.hyzhu.springboot.logging.controller.LogController : This is an ERROR log
2024-09-12 16:14:13.520 DEBUG [http-nio-8080-exec-2] top.hyzhu.springboot.logging.controller.LogController : This is a DEBUG log
2024-09-12 16:14:13.520 INFO  [http-nio-8080-exec-2] top.hyzhu.springboot.logging.controller.LogController : This is an INFO log
2024-09-12 16:14:13.520 WARN  [http-nio-8080-exec-2] top.hyzhu.springboot.logging.controller.LogController : This is a WARN log
2024-09-12 16:14:13.520 ERROR [http-nio-8080-exec-2] top.hyzhu.springboot.logging.controller.LogController : This is an ERROR log
2024-09-12 16:14:49.230 INFO  [File Watcher] org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener : Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-09-12 16:14:49.234 INFO  [Thread-5] org.apache.coyote.http11.Http11NioProtocol : Stopping ProtocolHandler ["http-nio-8080"]
2024-09-12 16:14:49.470 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : Starting Application using Java 17.0.9 with PID 26592 (E:\Projects\spring-boot-practice\spring-boot-logging\target\classes started by Huany in E:\Projects\spring-boot-practice)
2024-09-12 16:14:49.470 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-12 16:14:49.584 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-12 16:14:49.585 INFO  [restartedMain] org.apache.catalina.core.AprLifecycleListener : Loaded Apache Tomcat Native library [2.0.6] using APR version [1.7.4].
2024-09-12 16:14:49.585 INFO  [restartedMain] org.apache.catalina.core.AprLifecycleListener : OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2024-09-12 16:14:49.586 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-09-12 16:14:49.586 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-12 16:14:49.586 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-12 16:14:49.597 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-12 16:14:49.597 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 125 ms
